,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[224.  697.5],,[231.86957 698.1957 ],[219.62712 689.4915 ],[226.76271 697.5593 ],[224.21053 700.807  ],[228.29787 699.06384],,[224.72368 693.5855 ],[220.72632 698.1053 ],[224.08434 686.0241 ],[217.33588 686.16797],[222.68867 688.99054],[214.95589 688.03674],[225.35484 685.729  ],[222.761  683.9434],[221.98235 682.4471 ],[222.56044 679.9011 ],[225.68947 681.04736],[218.93478 680.2283 ],[221.10638 674.7394 ]
577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[462.76315 701.7632 ],,[459.59433 699.8585 ],[463.     700.3077],[455.29413 701.94116],[462.     701.6489],[459.89395 701.2121 ],,[463.05383 692.9846 ],[462.9034  695.26135],[466.39725 695.71234],[460.4    693.6303],[465.22156 689.98206],[474.08054 687.2215 ],[474.912 685.24 ],[476.89655 683.2586 ],[479.90225 679.1353 ],[484.36282 678.69025],[494.21875 683.64374],[492.82803 677.35034],[495.47467 670.5    ]
578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[ 37.10067 521.07385],[ 25.365 514.84 ],[ 12.946428 515.8571  ],[ 15.9811325 512.90094  ],[ 22.56087 521.15216],[ 30.503105 529.41614 ],[ 34.766235 531.987   ],[ 38.946747 531.4793  ],[ 31.872612 543.44586 ],[ 29.6  543.48],[ 33.836735 543.      ],[ 28.377483 542.7152  ],[ 19.975807 540.0484  ],[ 23.055555 537.73016 ],[ 21.824562 539.5088  ],[ 20.243479 544.31305 ],[ 20.708334 546.2833  ],[ 22.74312 546.90826],[ 25.553398 537.25726 ],[ 34.868217 535.26355 ],[ 37.597015 540.6866  ]
579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[  4.421875 522.9297  ],[ 10.038759 524.54266 ],[  4.081081 515.6486  ],[  6.0042553 518.6979   ],[  9.055555 518.3492  ],[  6.5555553 521.12964  ],[  3.6862745 521.451    ],[ 11.5     519.23895],[  5.1165047 529.9223   ],[  3.4810126 531.0633   ],[  5.553571 530.5982  ],[  1.8070176 531.2456   ],,,[  4.9658117 527.5897   ],[  4.96875 530.1667 ],[  5.4588237 531.2      ],[ 20.980295 535.13794 ],[  9.768786 539.32947 ],[ 21.233696 532.6957  ],[ 37.64706 529.57355]
580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[205.92857 392.4732 ],,,[200.55414 383.3312 ],[197.24419 391.48254],[198.47368 394.05264],[208.62454 398.1115 ],[211.05185 395.83704],[208.02083 397.52084],[213.26315 396.29605],[206.59125 396.45984],[208.461   396.48227],[211.48904 395.0511 ],[209.08633 393.17267],[208.72108 395.19727],[207.33794 394.92413],[208.97298 394.16217],[209.63448 395.83447],[205.97931 395.0069 ],[209.11333 391.96667]
581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[211.39394 384.101  ],[211.16667 374.87878],[197.84106 371.81458],[211.07692 369.97437],[212.29465 372.00894],[206.06154 372.41537],[222.87157 372.2477 ],[215.9619 369.9238],[214.63414 372.95935],[221.06723 376.63864],[216.52632 373.7456 ],[208.55782 366.82993],[211.68831 366.15585],[214.05035 365.71942],[227.52483 362.78015],[227.96178 362.53503],[228.65823 363.9304 ],[229.52942 365.46405],[223.32098 362.31482],[226.80682 358.52274]
582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[319.80646   64.354836],,[318.12766   58.070923],[317.2268    54.463917],[315.75824  57.46154],[317.58716  57.27523],[323.45193  56.5    ],[320.24582  54.68715],[310.0087    58.434784],,[305.19  60.6 ],[307.       60.21154],[312.06543  60.08411],[311.74747   59.969696],[306.98306   63.372883],[309.5238   62.29524],[312.0532    60.085106],[316.5946   62.91892],[311.68967   63.068966],
583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[334.05   106.7875],,,,,,,,,,,,,,,,,,[331.53934  98.73034],[332.59183  94.87755]
584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[488.16666  98.12281],[479.9863 106.9863],,[478.22983  98.18633],[478.86667  99.38333],[480.65256  98.04237],[483.2857   95.63025],[474.87387  90.72072],[473.3729   89.77119],[479.34616  93.78846],[474.27966   94.432205],[480.648  93.376],[486.33813  93.2518 ],[484.9771   89.84733],[483.45773   93.176056],[482.02142  95.66428],[482.89285  94.1    ],[486.1151   98.13669],[480.68115   98.152176],[483.21335  92.8    ]
585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[5.1350000e+02 4.2857143e-01],,,,,,,,,,,,,,,[518.3889     8.944445],,,[518.1667   6.5   ],
586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[326.6271   69.83898],[331.10938   65.046875],[333.29825   66.289474],[324.3923   68.13846],[321.48856  71.62595],[323.7535   70.19014],[325.2553   70.19858],[318.77026  68.00676],[315.13727  70.22876],[317.91504  72.71242],[310.24503  69.80132],[314.59714  67.71942],[319.55072   67.340576],[319.43478   67.289856],[315.8264   70.13194],[316.6525   71.58156],[317.35065  70.94156],,[316.77988   74.886795],[328.78677  68.99632]
587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[343.25806 112.36559],,,,,,[348.4366  107.93662],[343.37778 107.18519],[340.82013  107.928055],[345.28226 107.83871],[341.42657 104.51748],,,,[353.6281  103.80165],[356.40625 106.66406],[357.4014  109.23239],[358.9878  116.80488],[351.59872 116.01274],[354.40607  113.333336]
588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[  0.75 136.1 ],[  1.575 127.45 ],,,,,,,,[  0.85 132.45],[  4.3333335 131.52222  ],[  5.857143 131.7653  ],[  5.330097 130.67961 ],[  4.6019416 130.39806  ],[  2.5625  130.92188],,,[  6.3558283 128.83435  ],[  7.7643676 124.413795 ]
589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[  3.6030533 418.94656  ],,,,,,,,,,,,[  3.1411765 417.97647  ],[  2.3692307 417.86154  ],[  3.4526315 420.45264  ],[  2.5142858 420.6857   ],[  4.44  421.704],[  1.9193548 421.       ],
590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[ 86.833336 183.46666 ],[ 78.33813 188.10791],[ 79.63804 184.8773 ],[ 80.62577 188.07362],[ 87.108284 186.1274  ],[ 92.94444 184.58333],[ 89.69466 185.1145 ],[ 85.456375 186.50336 ],[ 90.789474 187.13815 ],[ 86.393105 187.8069  ],[ 89.75168 187.73825],[ 93.53191 185.08511],[ 91.258995 186.58273 ],[ 90.14465 191.45284],[ 86.67978 188.44943],[ 90.517006 186.89116 ],[ 98.1958  190.14685],[ 93.280304 185.9697  ],[ 95.85714 182.4812 ]
591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[ 92.805824 430.3398  ],[ 91.69173 432.4737 ],[ 88.64567 427.8504 ],[ 88.33044 431.9739 ],[ 86.85321 428.77063],[ 91.303276 426.85245 ],[ 88.45238 426.85715],[ 85.93496 428.22763],[ 90.19009 430.157  ],[ 84.45299 429.73505],[ 90.104836 429.73386 ],[ 93.81356 428.52542],[ 94.65    425.46667],[ 91.50781 426.64062],[ 92.22222 425.547  ],[ 93.32204 426.3644 ],[ 98.395164 428.80646 ],[ 94.74452 425.0657 ],[ 96.72581 418.60483]
592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[ 95.24691 204.55556],[ 92.60909 201.32727],[ 89.17333 204.45334],[ 88.13095 206.9762 ],[ 89.0875 206.625 ],[ 93.36709 205.70886],[ 96.04082 207.37755],[ 93.948715 203.95726 ],[ 91.25   207.5375],[ 85.80232 208.36046],[ 82.72483 200.75839],[ 87.85799 199.00592],[ 89.35107 201.42021],[ 86.71918 202.71918],[ 88.604935 201.0679  ],[ 89.23313 198.86504],[ 93.40385 201.65384],[ 89.32317 197.63414],[ 92.92486 193.46243]
593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[104.564415 618.6319  ],,[106.244446 627.55554 ],[104.42424 629.8939 ],,[107.15469 624.4033 ],[105.1831  625.60565],[100.46154 618.5055 ],[107.96703 628.6044 ],[103.91011 629.82025],[109.92308 630.9121 ],[113.315216 629.63043 ],[111.01786 619.6696 ],[108.2 619.8],[105.710144 618.0338  ],[105.77725 617.65875],[109.105 618.85 ],[103.93596 617.4828 ],[ 87.92593 619.9167 ]
594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[106.5 194. ],,[103.  196.5],,,,,,[ 99.57143 205.11224],[ 93.98969 203.57732],[ 99.893616 203.82979 ],[104.63265 201.72449],[103.958336 202.07292 ],[102.85107 201.08511],[103.69911 203.63716],[103.77419 202.62366],[100.166664 211.89583 ],[ 93.48485 209.12122],[ 97.72477 204.88991]
595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[111.357895   13.2736845],[109.911766  17.27451 ],[106.73283  25.12977],[107.06767   28.398497],[110.355934  25.915255],[117.15504   24.573643],[115.742645  21.220589],[113.792854  19.642857],,,,,,,,,,,
596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[122.786766  24.536764],[119.59292  29.23009],[119.78689  25.42623],[121.11364   28.181818],[122.507935  25.920635],[136.89375  20.6125 ],[148.18321   21.145039],[143.1892    22.864864],[147.28777   22.956835],[142.79605   24.342106],[146.9557    23.702532],[150.8299    24.484535],[151.37073   24.643902],[149.16513   24.857798],[148.26271   27.474577],[150.84616   23.620192],[152.94496   27.165138],[149.05661  25.01415],[152.66965   20.183035]
