,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[518. 703.],,,,,,,,[513.82666 700.26666],,,,,,,[506.     702.6429],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[115.36    397.18668],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[116.921875 386.45312 ],,,,[118.47802 373.45605],[130.89743 375.63248],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[142.15527 365.96893],,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[304.71796 238.73077],,,,,[319.75    247.08018],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[332.12964 239.54938],,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[472.59543 665.5954 ],[475.84732 650.6336 ],[476.57553 655.3741 ],[472.95862 649.33795],[471.48077 656.5192 ],[463.65384 670.9423 ],[455.35898 663.13464],,,,,,,,,[465.39633 654.75   ],[468.58502 657.7551 ],[467.21088 649.57825],[470.8654 648.4487],[463.60248 651.18634],[462.0059  647.51764],[459.8642  646.64813],[459.14285 643.9796 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[476.4322 675.9068],[486.52585 684.06036],[486.40567 686.06604],[486.04587 677.2936 ],[481.38776 680.38776],[492.60605 683.44244],[486.07382 675.9933 ],[485.75168 665.28186],[486.32297 671.8882 ],[478.4375 671.4432],[488.04193 666.85626],[485.33572 657.7714 ],[483.34027 671.2917 ],[475.04193 668.83234],[487.88284 669.43097],[478.97296 669.8417 ],[491.9737 669.4737],[492.85074 666.7463 ],[496.9565  667.92755],[501.32812 669.625  ],[502.     664.5897],[499.66116 663.35535],[500.85846 663.99084],[488.57144 673.20953],[485.4679  674.84406],[493.009   672.15314],[482.05618 670.7921 ],[491.1445  666.86127],[494.0414 669.426 ],[487.41525 670.0932 ],[487.72 668.12],[488.0982  652.97766],[488.4875 655.1375],[483.47827 664.01086],,[476.29605 664.1118 ],[479.35394 675.72473],[474.54886 660.015  ],[460.9604 654.7129],[467.81052 649.92633],[463.15872 641.2381 ],[463.53775 636.1321 ],[472.29605 643.8553 ],[482.64444 649.65924],[484.99258 649.1778 ],[489.5297 646.1287],[498.61667 645.8555 ],[499.80487 646.7683 ],[503.5951 647.8528],[496.858  648.1302],[502.882  647.7329],[506.19513 647.7683 ],[506.1677 647.9938],[503.86792 648.6667 ],[505.2078  651.12335],[505.7078 650.9091],[507.85986 652.6624 ],[505.33334 650.8261 ],[507.68875 647.2119 ]
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[482.8381 698.2857],,,,,[484.22287 695.7486 ],[478.5122  687.85974],,,,,,,,,,,,,[475.41565 672.2963 ],[472.77274 671.11816],[470.6926  669.22595],[464.53845 673.6453 ],[473.49515 680.81555],[468.19626 681.00934],[473.38678 677.9623 ],[461.971  680.0797],[470.61365 673.9015 ],[473.76596 675.21985],[463.2264  675.27673],[468.0625 669.7321],[461.85516 672.2897 ],[459.5175 667.    ],[452.20422 671.8662 ],[459.06897 670.5517 ],[450.60626 670.6625 ],[453.6216 679.1622],[449.57553 666.2374 ],[436.6485  655.69696],[437.64633 674.04877],[449.83334 667.81885],[438.73648 661.3919 ],,,,,,,,,,,[420.26828 659.561  ],[417.4     660.83075],[415.35715 662.3214 ],[412.     666.5208],[411.57272 670.1727 ],[405.38095 667.127  ],[406.30136 663.85614]
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[500.7647    45.068626],,,,,[503.52777   43.444443],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[501.6854    37.898876],,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[502.48148  35.91358],,,,[501.69305   29.455446],,[500.08218   35.054794],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[498.9592    28.469387],,,[497.26108   18.083744],,,,,,,,,,[495.3508     9.602095],,[510.568   4.728],[508.57895    6.819549],[502.76596     7.0212765],[502.29544     7.5757575],[508.8       14.361539],,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[504.46915 668.28394],,,,[503.77585 665.3405 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
