,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[159.        17.79666   11.572952],[208.        18.370972  14.709765],[171.        16.654219  13.463646],[151.        17.29637   11.571461],[175.        17.941404  12.595857],[175.        17.889093  12.645194],[218.        22.58755   12.580833],[210.        21.6536    12.468071],[101.        13.275706   9.961573],[130.        15.670877  10.717543],[106.         13.5910635  10.167097 ],[117.        15.792057   9.604591],[141.        14.672908  12.269216],[202.        18.434797  14.159739],[133.        13.426376  12.614773],[172.        21.764538  11.881258],[53.       10.658654  6.727102],[68.       15.271656  8.297541],[43.        13.399806   4.2954173],,,[88.       14.287151  8.383452],,,[161.        18.175884  12.532474],[133.        13.789354  12.368233],[119.        13.62164   11.168542],[138.        13.49789   13.041602],[129.        13.355115  12.397805],[124.        14.214696  11.08672 ],[125.        13.777942  11.550604],[102.        12.700136  10.490832],[89.       13.959949  8.3902  ],[117.        14.090243  10.775846],[75.       13.430799  7.397186],[49.       12.283458  5.870784],[18.         8.06872    2.9028652],[93.        12.6582985  9.813646 ],[78.       12.751028  8.392828]
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[283.        25.835327  14.457646],[252.        24.080553  13.593921],[220.        21.896679  12.893715],[245.        22.432281  14.367316],[97.       12.789175  9.94787 ],[99.       11.641367 11.05659 ],[78.        11.303896   9.1439495],[145.        15.382462  12.274479],[146.        15.528211  12.141833],[161.        18.383015  11.359494],[148.        15.62696   12.129676],[147.        16.56184   11.471578],[148.        15.141228  12.934952],[194.        23.301773  10.915586],[267.        24.678253  14.03863 ],[307.        25.311846  17.430128],[105.         12.042882   11.2744255],[115.        13.560535  11.137334],[136.        13.250858  13.203964],[170.        23.095716  10.296889],,,[229.        23.739237  12.602922],[222.        21.029135  13.856992],[126.        14.234396  11.370055],[130.        14.582974  11.325274],[129.         13.4426155  12.240116 ],[135.        14.01465   12.325579],[125.        12.975777  12.299803],[125.        13.103281  12.15849 ],[122.        13.184236  11.799142],[126.        12.879069  12.497945],[116.        12.30387   11.983938],[124.        13.156787  11.980598],[120.        13.023529  11.768316],[110.        12.046551  11.638151],[69.        9.968747  8.913116],[85.       13.283276  8.193895],[79.       11.182736  9.164317]
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[76.       11.861954  8.291129],[164.        15.599492  13.695191],[145.        15.416611  12.268709],[130.        14.475611  11.876082],[157.        15.85316   12.675964],[235.        26.277658  12.256185],[157.        16.29727   12.442646],[152.        15.905953  12.364836],[142.        15.150873  12.190641],[140.        15.824262  11.559609],[145.        15.077993  12.435026],[153.        15.748808  12.551633],[148.        15.706329  12.142147],,[228.        25.433546  12.025706],[91.       11.401311 10.264664],[317.        28.035301  16.656618],[150.        16.112307  12.041071],[135.        14.816991  11.784496],[160.        18.208015  11.423663],[124.        13.938736  11.602185],[124.         13.3137865  12.115216 ],[219.        20.302183  14.844954],[200.        18.458515  15.516224],[191.        18.713282  13.905726],[184.        18.606302  13.046513],[190.        18.566004  13.975975],[190.        17.077972  15.196348],[141.        15.855774  12.355542],[140.        14.948448  12.772077],,[177.        15.904021  14.601595],[194.        18.275406  14.248914],[172.        16.085579  13.916675],[180.        17.22952   13.572172],[170.        16.427761  13.388356]
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[145.        15.944876  11.662278],[216.        20.818176  13.316114],[137.        14.289305  12.43251 ],[136.        15.036215  11.667153],[84.       10.735917 10.064912],[79.       10.539231  9.55845 ],[97.       11.856672 10.410047],[93.       11.058461 10.741572],[78.       11.324261  8.769855],[90.       12.497026  9.312259],[83.        11.861196   9.0398445],[99.       12.707035 10.011915],[86.       11.820699  9.393772],,[94.       12.66041   9.617593],[81.       11.674266  8.892345],[150.        16.641483  11.652039],[242.        21.437975  14.573673],[140.        15.180279  11.920757],[160.        17.166218  12.139516],[162.        17.233902  12.83691 ],[169.        18.847878  11.766717],[195.        17.987366  14.075417],[176.        17.033117  13.386922],[186.         17.827492   13.4588585],[199.        18.674856  13.995281],[193.        18.130445  13.688512],[191.        17.702154  13.866583],[186.        16.857378  14.164909],[199.        17.196814  14.819032],[188.        16.110682  14.897554],[216.        17.247564  16.06862 ],[208.        18.10427   14.662769],[215.        17.872713  15.413765],,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[129.        14.07685   11.686903],[135.        14.579062  11.813246],[130.         14.19961    11.6501045],[137.         14.3660755  12.126336 ],[144.        15.33479   11.970291],[141.        15.125312  11.885633],[143.        15.689939  11.595208],,[152.        16.72934   11.548062],[148.        16.046925  11.744801],[147.        16.283504  11.524026],[149.        15.993086  11.853282],[159.        16.6243    12.196518],[150.         15.9614525  11.957333 ],[151.        15.397429  12.477777],[145.         14.61819    12.6378565],[154.        15.072542  13.014857],[145.        14.633198  12.650469],[141.        14.201827  12.665554],[92.       13.660894  8.59694 ],[103.         13.7421875   9.531443 ],[97.       13.880297  8.886605],[81.        11.473954   8.9880085],[100.        11.750909  10.859215],[100.        11.781308  10.800925],[112.        13.085798  10.927131],[115.        13.021068  11.237948],[115.        13.234064  11.110169],[107.        12.63687   10.782016],[127.        15.11702   10.718627]
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[6.        4.363338  1.6550097],[134.        14.2937    12.165462],[175.        24.217798  10.561904],[158.        19.121998  11.241571],[16.        10.192665   1.8998874],,,,,,,,,,,[61.        13.211097   6.4569864],[88.       13.604812  8.506196],[35.        10.777961   4.3007884],[108.        12.702621  10.90947 ],,,,,,,[110.        12.13164   11.681878],[110.        11.994806  11.671268],[114.        13.636769  10.677383]
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[125.        13.784782  11.718003],[119.        13.271898  11.583341],[134.        14.080594  12.195344],[128.        13.463322  12.26417 ],[140.        14.103825  12.748769],,[119.         13.702449   11.2959795],[112.        12.361898  11.581116],[104.        13.167901  10.07765 ],[237.        24.157726  12.916174],[249.        24.864735  13.067747],[132.         14.921403   11.3531685],[113.        12.921717  11.178159],[111.        13.46849   10.896864],[191.        20.715406  12.694023],[179.        17.150852  13.379463],[189.        17.68729   13.762743],[190.        18.782207  12.989879],[178.        19.682224  11.650945],[181.        20.152498  11.737021],[176.        17.867388  12.737143],[187.        18.791409  12.781795],[152.        14.46177   13.522881],[154.        14.27048   13.791812],[153.        15.138624  13.192499],[165.        16.478258  13.071582],[144.        14.626566  12.717563],[148.        16.782461  11.462224]
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[6.        6.8313007 0.       ],,[27.        10.832051   3.2117753],[7. 8. 0.],,,,,,,,,[26.        10.597532   3.0769231],,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[156.        15.179306  13.07844 ],,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[161.        15.804356  12.962673],,[139.         14.2113085  12.513886 ],[129.        16.191996  10.255724],,,[157.        15.768191  12.774597],[117.        13.036873  11.508047],,,,,,[212.        20.40695   13.537969],[149.        15.838342  12.048748],[189.        21.19578   11.636951],[82.       11.879267  9.424056],,[146.        16.733465  11.332145],[154.        17.266027  11.490269],[140.        17.152866  10.519001],[89.       11.713133  9.855993],[166.        19.279385  11.267987]
